"","Country","Output","Industry","Top","Input","Correlation","Oppotunities","nombre clients corr","Rapport","tests input"
"132","France","PTH","Prv","top5","HBsAg","0.93457052055194","60","92","0.3031",1260778
"133","France","SCC","Prv","base","CA 15-3","1","134","2","0.3631",259826
"134","France","SCC","Prv","top1",NA,NA,NA,NA,NA,NA
"135","France","SCC","Prv","top2",NA,NA,NA,NA,NA,NA
"136","France","SCC","Prv","top3",NA,NA,NA,NA,NA,NA
"137","France","SCC","Prv","top4",NA,NA,NA,NA,NA,NA
"138","France","SCC","Prv","top5",NA,NA,NA,NA,NA,NA
"139","France","Tacrolimus","Prv","base","PTH","0.991194154099939","96","5","0.3164",272001
"140","France","Tacrolimus","Prv","top1","CMV IgG","0.986862484663768","83","7","0.6454",190354
"141","France","Tacrolimus","Prv","top2","CMV IgM","0.985346789827378","83","7","0.6521",187679
"142","France","Tacrolimus","Prv","top3","CA 19-9","0.963694059297809","125","8","0.6959",239285
"143","France","Tacrolimus","Prv","top4","HBsAg","0.96170116342226","144","8","0.0877",1260778
"144","France","Tacrolimus","Prv","top5","LH","0.960935778394167","175","9","0.3686",416913
"145","France","ACTH","Gov","base","CORT","0.90953428842772","62","28","0.5585",98902
"146","France","ACTH","Gov","top1","CORT","0.90953428842772","62","28","0.5585",98902
"147","France","ACTH","Gov","top2","FT3","0.876209708259988","67","25","0.4368",125178
"148","France","ACTH","Gov","top3","Vit D Total","0.872318456326139","58","18","0.1645",285948
"149","France","ACTH","Gov","top4","PTH","0.870271122531392","45","20","0.412",114935
"150","France","ACTH","Gov","top5","FT4","0.860628083670307","80","26","0.2863",258057
"151","France","AMH","Gov","base","FSH","0.88762036415894","51","9","0.3314",33969
"152","France","AMH","Gov","top1","FSH","0.88762036415894","51","9","0.3314",33969
"153","France","AMH","Gov","top2","LH","0.839172847568893","53","9","0.137",70635
"154","France","AMH","Gov","top3","CORT","0.792660345018783","79","11","0.2007",98902
"155","France","AMH","Gov","top4","TSH","0.771574689611468","99","10","0.0287",933026
"156","France","AMH","Gov","top5","mALB","0.766895550660027","104","7","0.0623",810806
